,,,,,,,,,,,,,
,,,,,,,,,,,,,
חיובים קודמים,,,,,,,,,,,,,
מספר חשבון XXX-3862 תאריך הפקה 06.04.2026,,,,,,,,,,,,,
סה''כ חיובים קודמים בש''ח,סה''כ חיובי רכישות בחו''ל דולר,סה''כ חיובי רכישות בחו''ל יורו,CashBack נצבר,,,,,,,,,,
159.64,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
רכישות בארץ,,,,,,,,,,,,,
מספר חשבון XXX-3862 תאריך הפקה 06.04.2026,,,,,,,,,,,,,
שם כרטיס,חיוב קודם,חיוב לתאריך,,,,,,,,,,,
5376,159.64,10.11.2025,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
רכישות בחו''ל,,,,,,,,,,,,,
מספר חשבון XXX-3862 תאריך הפקה 06.04.2026,,,,,,,,,,,,,
שם כרטיס,חיוב קודם,חיוב לתאריך,מטבע,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
פירוט עבור הכרטיסים בארץ,,,,,,,,,,,,,
מספר חשבון XXX-3862 תאריך הפקה 06.04.2026,,,,,,,,,,,,,
שם כרטיס,חיוב לתאריך,תאריך,שם בית עסק,סכום קנייה,סכום חיוב בש''ח,אסמכתא,סכום הנחה על העסקה,אחוז הנחה על העסקה,תיאור אופן ההצמדה,מדד או שער בסיס,המדד או השער בו בוצע החיוב השוטף בעסקה,תאור סוג עסקת אשראי,
5376,10.11.2025,02.11.2025,GETT,92.1,92.1,2010191,,,ללא הצמדה,,,עסקה רגילה,
5376,10.11.2025,25.10.2025,חשבון לשרותי סלקום,50.32,50.32,7233105,,,ללא הצמדה,,,הוראת קבע,
5376,10.11.2025,22.10.2025,פועלים- דמי כרטיס,17.22,17.22,0,,,ללא הצמדה,,,עסקה רגילה,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
פירוט עבור הכרטיסים בחו''ל,,,,,,,,,,,,,
מספר חשבון XXX-3862 תאריך הפקה 06.04.2026,,,,,,,,,,,,,
שם כרטיס,חיוב לתאריך,תאריך,שם בית עסק,סכום חיוב בש''ח,סכום קנייה,מטבע מקורי,אסמכתא,סכום הנחה על העסקה,אחוז הנחה על העסקה,תיאור אופן ההצמדה,מדד או שער בסיס,המדד או השער בו בוצע החיוב השוטף בעסקה,תאור סוג עסקת אשראי
,,,,,,,,,,,,,
,,,,,,,,,,,,,
פירוט עבור הכרטיסים בחו''ל בדולר,,,,,,,,,,,,,
מספר חשבון XXX-3862 תאריך הפקה 06.04.2026,,,,,,,,,,,,,
שם כרטיס,חיוב לתאריך,תאריך,שם בית עסק,סכום קנייה,מטבע,סכום חיוב בדולר,הערות לעסקה,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
פירוט עבור הכרטיסים בחו''ל ביורו,,,,,,,,,,,,,
מספר חשבון XXX-3862 תאריך הפקה 06.04.2026,,,,,,,,,,,,,
שם כרטיס,חיוב לתאריך,תאריך,שם בית עסק,סכום קנייה,מטבע,סכום חיוב ביורו,הערות לעסקה,,,,,,
